TimeL;TimeGln(hms);TimeGln(sec.);TimeGps(sec.);S(2)E1B;dS(2)E1B;Fi(2)E1B;S(4)E1B;dS(4)E1B;Fi(4)E1B;S(10)E1B;dS(10)E1B;Fi(10)E1B;S(11)E1B;dS(11)E1B;Fi(11)E1B;S(12)E1B;dS(12)E1B;Fi(12)E1B;S(16)E1B;dS(16)E1B;Fi(16)E1B;S(19)E1B;dS(19)E1B;Fi(19)E1B;S(25)E1B;dS(25)E1B;Fi(25)E1B;S(29)E1B;dS(29)E1B;Fi(29)E1B;S(36)E1B;dS(36)E1B;Fi(36)E1B
;;;
33;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;23:59:59.000;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;12:35:05.000;45305;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;12:35:06.000;45306;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;12:35:07.000;45307;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;12:35:08.000;45308;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;12:35:09.000;45309;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;12:35:10.000;45310;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;12:35:11.000;45311;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;12:35:12.000;45312;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;12:35:13.000;45313;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;12:35:14.000;45314;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;12:35:15.000;45315;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;12:35:16.000;45316;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;12:35:17.000;45317;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;12:35:18.000;45318;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;12:35:19.000;45319;34537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;12:35:20.000;45320;34538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;12:35:21.000;45321;34539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;12:35:22.000;45322;34540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;12:35:23.000;45323;34541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;12:35:24.000;45324;34542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;12:35:25.000;45325;34543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;12:35:26.000;45326;34544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;12:35:27.000;45327;34545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;12:35:28.000;45328;34546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;12:35:29.000;45329;34547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;12:35:30.000;45330;34548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;12:35:31.000;45331;34549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;12:35:32.000;45332;34550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;12:35:33.000;45333;34551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;12:35:34.000;45334;34552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;12:35:35.000;45335;34553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;12:35:36.000;45336;34554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;12:35:37.000;45337;34555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;12:35:38.000;45338;34556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;12:35:39.000;45339;34557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;12:35:40.000;45340;34558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;12:35:41.000;45341;34559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;12:35:42.000;45342;34560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;12:35:43.000;45343;34561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;12:35:44.000;45344;34562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;12:35:45.000;45345;34563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;12:35:46.000;45346;34564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;12:35:47.000;45347;34565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;12:35:48.000;45348;34566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;12:35:49.000;45349;34567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;12:35:50.000;45350;34568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;12:35:51.000;45351;34569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;12:35:52.000;45352;34570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;12:35:53.000;45353;34571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;12:35:54.000;45354;34572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;12:35:55.000;45355;34573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;12:35:56.000;45356;34574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;12:35:57.000;45357;34575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;12:35:58.000;45358;34576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;12:35:59.000;45359;34577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;12:36:00.000;45360;34578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;12:36:01.000;45361;34579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;12:36:02.000;45362;34580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;12:36:03.000;45363;34581;;;;;;;23597419.36;;-23597419.43;;;;;;;;;;;;;;;;27125913.78;;-27125913.86;;;
112;12:36:04.000;45364;34582;;;;;;;23597469.72;50.0867;-23597469.52;;;;;;;;;;;;;;;;27125959.83;47.82522;-27125961.69;;;
113;12:36:05.000;45365;34583;;;;;;;23597518.05;50.2053;-23597519.72;;;;;;;;;;;;;;;;27126009.86;47.98063;-27126009.67;;;
114;12:36:06.000;45366;34584;;;;;;;23597569.41;50.28484;-23597570.01;;;;;;;;;;;;;;;;27126056.84;48.09641;-27126057.76;;;
115;12:36:07.000;45367;34585;;;;;;;23597619.53;50.38708;-23597620.39;;;;;;;;;;;;;;;;27126104.36;48.22723;-27126105.99;;;
116;12:36:08.000;45368;34586;;;;;;;23597671.62;50.48181;-23597670.87;;;;;;;;;;;;;;;;27126153;48.36641;-27126154.36;;;
117;12:36:09.000;45369;34587;;;;;;;23597720.94;50.53151;-23597721.41;;;;;;;;;;;;;;;;27126199.16;48.44695;-27126202.8;;;
118;12:36:10.000;45370;34588;;;;;;;23597773.07;50.58705;-23597771.99;;;;;;;;;;;;;;;;27126252.17;48.53721;-27126251.34;;;
119;12:36:11.000;45371;34589;;;;;;;23597821.59;50.68556;-23597822.68;;;;;;;;;;;;;;;;27126298.71;48.67451;-27126300.02;;;
120;12:36:12.000;45372;34590;;;;;;;23597872.26;50.7827;-23597873.46;;;;;;;;;;;;;;;;27126346.17;48.80251;-27126348.82;;;
121;12:36:13.000;45373;34591;;;;;;;23597924.16;50.79827;-23597924.26;;;;;;;;;;;;;;;;27126396.76;48.86143;-27126397.68;;;
122;12:36:14.000;45374;34592;;;;;;;23597973.46;50.89049;-23597975.15;;;;;;;;;;;;;;;;27126445.68;48.98698;-27126446.67;;;
123;12:36:15.000;45375;34593;;;;;;;23598026.36;50.91413;-23598026.06;;;;24101706.39;289.91077;-24101705.6;;;;;;;;;;27126495.56;49.04124;-27126495.71;;;
124;12:36:16.000;45376;34594;;;;;;;23598077.8;50.97014;-23598077.03;;;;24101994.67;289.95834;-24101995.56;;;;;;;;;;27126542.58;49.13622;-27126544.84;;;
125;12:36:17.000;45377;34595;;;;;;;23598127.72;51.03561;-23598128.07;;;;24102284.4;290.00992;-24102285.57;;;;;;;;;;27126591;49.23647;-27126594.08;;;
126;12:36:18.000;45378;34596;;;;;;;23598180.56;51.08141;-23598179.15;;;;24102573.5;290.03537;-24102575.6;;;;;;;;;;27126642.5;49.31556;-27126643.4;;;
127;12:36:19.000;45379;34597;;;;;;;23598231.91;51.17587;-23598230.33;;;;24102862.57;290.1312;-24102865.73;;;;;;;;;;27126691.48;49.44927;-27126692.85;;;
128;12:36:20.000;45380;34598;;;;;;;23598283.48;51.25998;-23598281.59;;;;24103152.73;290.19028;-24103155.92;;;;;;;;;;27126741;49.56372;-27126742.41;;;
129;12:36:21.000;45381;34599;;;;;;;23598334.19;51.28038;-23598332.87;;;;24103442.64;290.20358;-24103446.13;;;;;;;;;;27126789.61;49.62054;-27126792.03;;;
130;12:36:22.000;45382;34600;;;;;;;23598387.23;51.35481;-23598384.22;;;;24103731.66;290.26379;-24103736.39;;;;;;;;;;27126838.92;49.73238;-27126841.76;;;
131;12:36:23.000;45383;34601;;;;;;;23598438.11;51.38824;-23598435.61;;;;24104022.38;290.29425;-24104026.69;;;;;;;;;;27126888.91;49.80393;-27126891.57;;;
132;12:36:24.000;45384;34602;;;;;;;23598488.86;51.48847;-23598487.1;;;;24104314.58;290.36572;-24104317.05;;;;;;;24623238.61;;-24623238.58;27126939.42;49.9355;-27126941.5;;;
133;12:36:25.000;45385;34603;;;;;;;23598542.58;51.5418;-23598538.64;;;;24104604.35;290.42157;-24104607.47;;;;;;;24623467.09;228.1562;-24623466.74;27126990.34;50.03066;-27126991.53;;;
134;12:36:26.000;45386;34604;;;;;;;23598593.23;51.61898;-23598590.26;;;;24104893.21;290.47821;-24104897.95;;;;;;;24623695.46;228.25577;-24623695;27127040.14;50.13667;-27127041.67;;;
135;12:36:27.000;45387;34605;;;;;;;23598645.93;51.65907;-23598641.92;;;;24105183.71;290.50244;-24105188.45;;;;;;;24623922.58;228.32677;-24623923.32;27127091.33;50.21384;-27127091.88;;;
136;12:36:28.000;45388;34606;;;;;;;23598696.91;51.6576;-23598693.58;;;;24105473.93;290.49606;-24105478.95;;;;;;;24624150.65;228.353;-24624151.68;27127142.25;50.25357;-27127142.14;;;
137;12:36:29.000;45389;34607;;;;;;;23598747.33;51.70284;-23598745.28;;;;24105766.05;290.5285;-24105769.48;;;;;;;24624379.53;228.42509;-24624380.1;27127191.85;50.32922;-27127192.47;;;
138;12:36:30.000;45390;34608;;;;;;;23598800.32;51.77609;-23598797.06;;;;24106057.46;290.5892;-24106060.07;;;;;;;24624607.54;228.53206;-24624608.63;27127241.65;50.43692;-27127242.9;;;
139;12:36:31.000;45391;34609;;;;;;;23598851.83;51.83566;-23598848.89;;;;24106348.84;290.63657;-24106350.7;;;;;;;24624838.66;228.61447;-24624837.25;27127290.32;50.53584;-27127293.44;;;
140;12:36:32.000;45392;34610;;;;;;;23598902.54;51.88835;-23598900.78;;;;24106640.31;290.66876;-24106641.37;;;;;;;24625067.1;228.69748;-24625065.95;27127341.52;50.6213;-27127344.06;;;
141;12:36:33.000;45393;34611;;;;;;;23598955.69;51.92889;-23598952.71;;;;24106929.7;290.70596;-24106932.08;;;;;;;24625294.93;228.76952;-24625294.71;27127391.74;50.69943;-27127394.76;;;
142;12:36:34.000;45394;34612;;;;;;;23599008.31;51.95304;-23599004.66;;;;24107222.7;290.71481;-24107222.79;;;;;;;24625524.15;228.81599;-24625523.53;27127442.44;50.75362;-27127445.51;;;
143;12:36:35.000;45395;34613;;;;;;;23599059.67;52.00532;-23599056.67;;;;24107511.81;290.75403;-24107513.55;;;;;;;24625753.16;228.90408;-24625752.43;27127492.49;50.85247;-27127496.37;;;
144;12:36:36.000;45396;34614;;;;;;;23599112.35;52.07463;-23599108.74;;;;24107801.73;290.81073;-24107804.36;;;;;;;24625982.69;228.99915;-24625981.43;27127543;50.94912;-27127547.31;;;
145;12:36:37.000;45397;34615;;;;;;;23599164.29;52.19365;-23599160.93;;;;24108092.54;290.91531;-24108095.27;;;;;;;24626212.46;229.14102;-24626210.57;27127596.56;51.10292;-27127598.42;;;
146;12:36:38.000;45398;34616;;;;;;;23599217.02;52.28467;-23599213.22;;;;24108384.36;290.99423;-24108386.27;;;;;;;24626441.41;229.26489;-24626439.84;27127645.76;51.23493;-27127649.65;;;
147;12:36:39.000;45399;34617;;;;;;;23599268.03;52.28743;-23599265.51;;;;24108673.53;290.98901;-24108677.26;;;;;;;24626669.63;229.29771;-24626669.14;27127695.97;51.26979;-27127700.92;;;
148;12:36:40.000;45400;34618;;;;;;;23599320.64;52.32896;-23599317.84;;;;24108965.51;291.01779;-24108968.27;;;;;;;24626898.92;229.36197;-24626898.5;27127750.98;51.34993;-27127752.27;;;
149;12:36:41.000;45401;34619;;;;;;;23599373.33;52.36522;-23599370.2;;;;24109256.66;291.03696;-24109259.31;;;;;;;24627128.41;229.43105;-24627127.93;27127800.52;51.41827;-27127803.69;;;
